condition	fold	bss	n_scored	n_total	base_rate	mean_prob	reliability	resolution	uncertainty
scaled	2019	8.6e-05	6448	13104	0.61569	0.566937	6.38e-05	0.0001345	0.246266
scaled	2020-COVID	1.6e-05	8320	13156	0.574111	0.572212	0.00010389	0.0	0.246154
scaled	2021	-6.3e-05	12220	13104	0.57906	0.573091	8.429e-05	4.234e-05	0.245884
scaled	2022-Bear	-0.122284	416	13052	0.487588	0.573071	0.02992788	0.00054428	0.240286
scaled	2023	-0.018695	7436	13000	0.562923	0.565421	0.00471176	2.693e-05	0.249996
scaled	2024-Val	-0.000408	12480	13104	0.5654	0.565728	0.00011327	1.1e-05	0.246917
raw	2019	-0.00102	6448	13104	0.61569	0.566912	3.373e-05	0.0	0.246266
raw	2020-COVID	-0.000948	8320	13156	0.574111	0.572308	0.00010586	0.0	0.246154
raw	2021	-0.001037	12220	13104	0.57906	0.572945	7.722e-05	0.0	0.245884
raw	2022-Bear	-0.120492	416	13052	0.487588	0.572054	0.02910823	0.0	0.240286
raw	2023	-0.018163	7436	13000	0.562923	0.565654	0.00456116	0.0	0.249996
raw	2024-Val	-0.001018	12480	13104	0.5654	0.565818	0.00010586	0.0	0.246917
